name,date,cases,hospitalizations,deaths,level
Middlesex,2020-04-18,448,36,37,county
New Haven,2020-04-18,4743,638,241,county
New London,2020-04-18,315,23,10,county
Tolland,2020-04-18,270,14,24,county
Windham,2020-04-18,97,4,2,county
Connecticut,2020-04-19,17962,1901,1127,state
Fairfield,2020-04-19,7434,746,447,county
Hartford,2020-04-19,3351,420,295,county
Litchfield,2020-04-19,600,27,48,county
Middlesex,2020-04-19,462,33,40,county
New Haven,2020-04-19,4871,633,257,county
New London,2020-04-19,339,26,10,county
Tolland,2020-04-19,276,12,24,county
Windham,2020-04-19,100,4,2,county
Connecticut,2020-04-20,19815,1919,1331,state
Fairfield,2020-04-20,8320,733,512,county
Hartford,2020-04-20,3823,455,369,county
Litchfield,2020-04-20,639,23,58,county
Middlesex,2020-04-20,484,36,45,county
New Haven,2020-04-20,5272,626,301,county
New London,2020-04-20,356,29,13,county
Tolland,2020-04-20,299,13,27,county
Windham,2020-04-20,108,4,2,county
Connecticut,2020-04-21,20360,1949,1423,state
Fairfield,2020-04-21,8472,735,544,county
Hartford,2020-04-21,3951,473,402,county
Litchfield,2020-04-21,643,23,59,county
Middlesex,2020-04-21,512,40,47,county
New Haven,2020-04-21,5493,625,322,county
New London,2020-04-21,369,35,13,county
Tolland,2020-04-21,305,13,30,county
Windham,2020-04-21,112,5,2,county
Connecticut,2020-04-22,22469,1972,1544,state
Fairfield,2020-04-22,9883,749,584,county
Hartford,2020-04-22,4128,495,442,county
Litchfield,2020-04-22,722,20,63,county
Middlesex,2020-04-22,525,42,53,county
New Haven,2020-04-22,5811,620,345,county
New London,2020-04-22,397,32,14,county
Tolland,2020-04-22,331,11,32,county
Windham,2020-04-22,122,3,4,county
Connecticut,2020-04-23,23100,1947,1639,state
Fairfield,2020-04-23,10008,730,615,county
Hartford,2020-04-23,4303,490,469,county
Litchfield,2020-04-23,751,22,66,county
Middlesex,2020-04-23,545,38,57,county
New Haven,2020-04-23,6064,626,372,county
New London,2020-04-23,419,31,17,county
Tolland,2020-04-23,359,6,33,county
Windham,2020-04-23,129,4,4,county
Connecticut,2020-04-24,23921,1877,1764,state
Fairfield,2020-04-24,10227,694,662,county
Hartford,2020-04-24,4570,462,511,county
Litchfield,2020-04-24,808,22,69,county
Middlesex,2020-04-24,561,39,63,county
New Haven,2020-04-24,6286,617,396,county
New London,2020-04-24,448,33,23,county
Tolland,2020-04-24,375,4,34,county
Windham,2020-04-24,139,6,3,county
Connecticut,2020-04-25,24582,1810,1862,state
Fairfield,2020-04-25,10373,649,689,county
Hartford,2020-04-25,4761,443,553,county
Litchfield,2020-04-25,834,22,73,county
Middlesex,2020-04-25,576,41,62,county
New Haven,2020-04-25,6509,610,416,county
New London,2020-04-25,473,33,28,county
Tolland,2020-04-25,384,6,35,county
Windham,2020-04-25,151,6,3,county
Connecticut,2020-04-26,25269,1766,1924,state
Fairfield,2020-04-26,10529,635,707,county
Hartford,2020-04-26,4989,426,579,county
Litchfield,2020-04-26,864,22,74,county
Middlesex,2020-04-26,588,37,66,county
New Haven,2020-04-26,6715,605,429,county
New London,2020-04-26,498,31,31,county
Tolland,2020-04-26,407,5,35,county
Windham,2020-04-26,157,5,3,county
Connecticut,2020-04-27,25997,1758,2012,state
Fairfield,2020-04-27,10763,627,727,county
Hartford,2020-04-27,5157,429,612,county
Litchfield,2020-04-27,892,21,75,county
Middlesex,2020-04-27,609,37,69,county
New Haven,2020-04-27,6993,602,456,county
New London,2020-04-27,516,31,34,county
Tolland,2020-04-27,419,5,35,county
Windham,2020-04-27,164,6,3,county
Connecticut,2020-04-28,26312,1732,2089,state
Fairfield,2020-04-28,10874,620,747,county
Hartford,2020-04-28,5224,418,643,county
Litchfield,2020-04-28,900,20,76,county
Middlesex,2020-04-28,618,31,70,county
New Haven,2020-04-28,7089,598,478,county
New London,2020-04-28,530,34,34,county
Tolland,2020-04-28,422,6,35,county
Windham,2020-04-28,164,5,3,county
Connecticut,2020-04-29,26767,1691,2168,state
Fairfield,2020-04-29,10985,591,774,county
Hartford,2020-04-29,5388,403,670,county
Litchfield,2020-04-29,919,21,79,county
