geoid,name,race,estimate,moe
0900551350,New Hartford,Asian,0,17
0900551350,New Hartford,Black,52,85
0900551350,New Hartford,Latino,261,233
0900551350,New Hartford,Other,49,50.23
0900551350,New Hartford,Total,6755,40
0900551350,New Hartford,White,6393,251
0900552630,New Milford,Asian,836,273
0900552630,New Milford,Black,242,102
0900552630,New Milford,Latino,2280,490
0900552630,New Milford,Other,494,214.02
0900552630,New Milford,Total,27196,30
0900552630,New Milford,White,23344,571
0900553470,Norfolk,Asian,5,8
0900553470,Norfolk,Black,5,7
0900553470,Norfolk,Latino,34,45
0900553470,Norfolk,Other,50,47.76
0900553470,Norfolk,Total,1503,140
0900553470,Norfolk,White,1409,133
0900554030,North Canaan,Asian,7,12
0900554030,North Canaan,Black,117,106
0900554030,North Canaan,Latino,221,151
0900554030,North Canaan,Other,29,36.5
0900554030,North Canaan,Total,3302,21
0900554030,North Canaan,White,2928,183
0900560750,Plymouth,Asian,17,19
0900560750,Plymouth,Black,241,155
0900560750,Plymouth,Latino,712,276
0900560750,Plymouth,Other,416,172.3
0900560750,Plymouth,Total,11782,22
0900560750,Plymouth,White,10396,365
0900565930,Roxbury,Asian,41,46
0900565930,Roxbury,Black,0,12
0900565930,Roxbury,Latino,23,17
0900565930,Roxbury,Other,6,23.07
0900565930,Roxbury,Total,2103,158
0900565930,Roxbury,White,2033,150
0900566420,Salisbury,Asian,43,47
0900566420,Salisbury,Black,14,20
0900566420,Salisbury,Latino,54,57
0900566420,Salisbury,Other,25,29.66
0900566420,Salisbury,Total,3631,22
0900566420,Salisbury,White,3495,76
0900567960,Sharon,Asian,45,33
0900567960,Sharon,Black,29,37
0900567960,Sharon,Latino,70,64
0900567960,Sharon,Other,91,97.25
0900567960,Sharon,Total,2721,27
0900567960,Sharon,White,2486,128
0900575730,Thomaston,Asian,29,44
0900575730,Thomaston,Black,39,44
0900575730,Thomaston,Latino,220,108
0900575730,Thomaston,Other,38,41.26
0900575730,Thomaston,Total,7623,19
0900575730,Thomaston,White,7297,147
0900576570,Torrington,Asian,864,278
0900576570,Torrington,Black,935,262
0900576570,Torrington,Latino,3948,557
0900576570,Torrington,Other,670,176.66
0900576570,Torrington,Total,34737,29
0900576570,Torrington,White,28320,645
0900579510,Warren,Asian,21,19
0900579510,Warren,Black,0,12
0900579510,Warren,Latino,46,30
0900579510,Warren,Other,21,26.85
0900579510,Warren,Total,1432,121
0900579510,Warren,White,1344,119
0900579720,Washington,Asian,70,101
0900579720,Washington,Black,42,90
0900579720,Washington,Latino,141,105
0900579720,Washington,Other,22,33.29
0900579720,Washington,Total,3472,23
0900579720,Washington,White,3197,176
0900580490,Watertown,Asian,374,275
0900580490,Watertown,Black,428,255
0900580490,Watertown,Latino,991,284
0900580490,Watertown,Other,173,144.98
0900580490,Watertown,Total,21832,28
0900580490,Watertown,White,19866,477
0900586440,Winchester,Asian,98,114
0900586440,Winchester,Black,94,61
0900586440,Winchester,Latino,388,117
0900586440,Winchester,Other,235,148.25
0900586440,Winchester,Total,10798,24
0900586440,Winchester,White,9983,224
0900587910,Woodbury,Asian,433,233
0900587910,Woodbury,Black,36,33
0900587910,Woodbury,Latino,467,262
0900587910,Woodbury,Other,88,73.26
0900587910,Woodbury,Total,9617,26
0900587910,Woodbury,White,8593,322
09007,Middlesex County,Asian,4956,193
09007,Middlesex County,Black,8050,297
09007,Middlesex County,Latino,9835,NA
09007,Middlesex County,Other,2831,422.1
09007,Middlesex County,Total,163368,NA
09007,Middlesex County,White,137696,119
0900714300,Chester,Asian,82,81
0900714300,Chester,Black,19,23
0900714300,Chester,Latino,137,98
0900714300,Chester,Other,0,12
0900714300,Chester,Total,4268,27
0900714300,Chester,White,4030,123
0900715350,Clinton,Asian,125,63
0900715350,Clinton,Black,56,50
0900715350,Clinton,Latino,1203,347
0900715350,Clinton,Other,213,116.81
0900715350,Clinton,Total,12976,32
0900715350,Clinton,White,11379,398
0900718080,Cromwell,Asian,452,216
0900718080,Cromwell,Black,833,243
0900718080,Cromwell,Latino,1364,353
0900718080,Cromwell,Other,168,97.71
0900718080,Cromwell,Total,13973,26
0900718080,Cromwell,White,11156,463
0900719130,Deep River,Asian,59,45
0900719130,Deep River,Black,113,93
0900719130,Deep River,Latino,175,109
0900719130,Deep River,Other,88,85.71
0900719130,Deep River,Total,4493,29
0900719130,Deep River,White,4058,194
0900720810,Durham,Asian,44,63
0900720810,Durham,Black,7,14
0900720810,Durham,Latino,98,88
0900720810,Durham,Other,109,120.65
0900720810,Durham,Total,7248,17
0900720810,Durham,White,6990,195
0900722280,East Haddam,Asian,77,119
0900722280,East Haddam,Black,60,71
0900722280,East Haddam,Latino,330,218
0900722280,East Haddam,Other,78,83.37
0900722280,East Haddam,Total,9032,20
0900722280,East Haddam,White,8487,267
0900722490,East Hampton,Asian,344,205
0900722490,East Hampton,Black,170,133
0900722490,East Hampton,Latino,401,177
0900722490,East Hampton,Other,178,129.8
0900722490,East Hampton,Total,12856,26
0900722490,East Hampton,White,11763,373
0900726270,Essex,Asian,122,75
0900726270,Essex,Black,241,263
0900726270,Essex,Latino,254,145
0900726270,Essex,Other,121,116.77
0900726270,Essex,Total,6599,36
0900726270,Essex,White,5861,355
0900735230,Haddam,Asian,273,192
0900735230,Haddam,Black,63,53
0900735230,Haddam,Latino,230,170
0900735230,Haddam,Other,31,42.04
0900735230,Haddam,Total,8267,28
0900735230,Haddam,White,7670,258
0900740710,Killingworth,Asian,71,68
0900740710,Killingworth,Black,28,44
0900740710,Killingworth,Latino,82,73
0900740710,Killingworth,Other,50,56.31
0900740710,Killingworth,Total,6414,20
0900740710,Killingworth,White,6183,118
0900747080,Middlefield,Asian,78,91
0900747080,Middlefield,Black,4,9
0900747080,Middlefield,Latino,63,48
0900747080,Middlefield,Other,12,23.19
0900747080,Middlefield,Total,4385,19
0900747080,Middlefield,White,4228,99
0900747360,Middletown,Asian,2866,240
0900747360,Middletown,Black,6273,430
0900747360,Middletown,Latino,4540,527
0900747360,Middletown,Other,1282,268.5
0900747360,Middletown,Total,46473,34
0900747360,Middletown,White,31512,670
0900757320,Old Saybrook,Asian,334,232
0900757320,Old Saybrook,Black,83,84
0900757320,Old Saybrook,Latino,554,270
0900757320,Old Saybrook,Other,230,244.23
0900757320,Old Saybrook,Total,10118,22
0900757320,Old Saybrook,White,8917,367
0900761800,Portland,Asian,24,26
0900761800,Portland,Black,44,48
0900761800,Portland,Latino,193,121
0900761800,Portland,Other,87,84.31
0900761800,Portland,Total,9362,23
0900761800,Portland,White,9014,165
0900781680,Westbrook,Asian,5,6
0900781680,Westbrook,Black,56,55
0900781680,Westbrook,Latino,211,166
0900781680,Westbrook,Other,184,152.34
0900781680,Westbrook,Total,6904,43
0900781680,Westbrook,White,6448,262
09009,New Haven County,Asian,33850,726
09009,New Haven County,Black,106325,1160
09009,New Haven County,Latino,151361,NA
09009,New Haven County,Other,21683,1545.94
09009,New Haven County,Total,859339,NA
09009,New Haven County,White,546120,493
0900901220,Ansonia,Asian,300,184
0900901220,Ansonia,Black,2330,588
0900901220,Ansonia,Latino,4327,642
0900901220,Ansonia,Other,363,226.88
0900901220,Ansonia,Total,18860,52
0900901220,Ansonia,White,11540,668
0900903250,Beacon Falls,Asian,42,47
0900903250,Beacon Falls,Black,113,108
0900903250,Beacon Falls,Latino,174,186
0900903250,Beacon Falls,Other,40,53.78
0900903250,Beacon Falls,Total,6115,23
0900903250,Beacon Falls,White,5746,259
0900904580,Bethany,Asian,406,197
0900904580,Bethany,Black,68,81
0900904580,Bethany,Latino,356,240
0900904580,Bethany,Other,201,194.24
0900904580,Bethany,Total,5504,17
0900904580,Bethany,White,4473,348
0900907310,Branford,Asian,1223,477
0900907310,Branford,Black,341,154
0900907310,Branford,Latino,1449,526
0900907310,Branford,Other,431,205.81
0900907310,Branford,Total,28094,28
0900907310,Branford,White,24650,670
0900914160,Cheshire,Asian,2234,371
0900914160,Cheshire,Black,1376,304
0900914160,Cheshire,Latino,1207,309
0900914160,Cheshire,Other,873,274.67
0900914160,Cheshire,Total,29208,45
0900914160,Cheshire,White,23518,526
0900919550,Derby,Asian,369,365
0900919550,Derby,Black,628,357
0900919550,Derby,Latino,2920,677
0900919550,Derby,Other,317,185.03
0900919550,Derby,Total,12596,35
0900919550,Derby,White,8362,739
0900922910,East Haven,Asian,1000,354
0900922910,East Haven,Black,683,344
0900922910,East Haven,Latino,4431,722
0900922910,East Haven,Other,630,355.79
0900922910,East Haven,Total,28860,31
0900922910,East Haven,White,22116,801
0900934950,Guilford,Asian,834,396
0900934950,Guilford,Black,213,202
0900934950,Guilford,Latino,1085,333
0900934950,Guilford,Other,470,199.39
0900934950,Guilford,Total,22285,42
0900934950,Guilford,White,19683,550
0900935650,Hamden,Asian,3062,489
0900935650,Hamden,Black,14595,1151
0900935650,Hamden,Latino,7199,813
0900935650,Hamden,Other,1720,530.64
0900935650,Hamden,Total,61206,55
0900935650,Hamden,White,34630,997
0900944560,Madison,Asian,473,215
0900944560,Madison,Black,86,60
0900944560,Madison,Latino,348,231
0900944560,Madison,Other,466,341.48
0900944560,Madison,Total,18183,83
0900944560,Madison,White,16810,376
0900946520,Meriden,Asian,888,326
0900946520,Meriden,Black,5615,798
0900946520,Meriden,Latino,16392,1096
0900946520,Meriden,Other,1150,369.99
0900946520,Meriden,Total,59864,85
0900946520,Meriden,White,35819,1038
0900946940,Middlebury,Asian,353,153
0900946940,Middlebury,Black,66,74
0900946940,Middlebury,Latino,457,259
0900946940,Middlebury,Other,145,103.29
0900946940,Middlebury,Total,7661,23
0900946940,Middlebury,White,6640,304
0900947535,Milford,Asian,3302,560
0900947535,Milford,Black,1412,459
0900947535,Milford,Latino,3560,602
0900947535,Milford,Other,1021,303.24
0900947535,Milford,Total,54047,34
0900947535,Milford,White,44752,838
0900949950,Naugatuck,Asian,968,450
0900949950,Naugatuck,Black,2421,492
0900949950,Naugatuck,Latino,3555,733
0900949950,Naugatuck,Other,1375,505.95
0900949950,Naugatuck,Total,31481,30
0900949950,Naugatuck,White,23162,918
0900952070,New Haven,Asian,6081,722
0900952070,New Haven,Black,41070,1550
0900952070,New Haven,Latino,39534,1761
0900952070,New Haven,Other,4080,633.56
0900952070,New Haven,Total,130529,108
0900952070,New Haven,White,39764,1492
0900953890,North Branford,Asian,271,271
0900953890,North Branford,Black,379,419
0900953890,North Branford,Latino,507,251
0900953890,North Branford,Other,180,159.43
0900953890,North Branford,Total,14208,25
0900953890,North Branford,White,12871,548
0900954870,North Haven,Asian,1376,402
0900954870,North Haven,Black,737,335
0900954870,North Haven,Latino,1229,450
0900954870,North Haven,Other,372,195.4
0900954870,North Haven,Total,23786,62
0900954870,North Haven,White,20072,604
0900957600,Orange,Asian,1029,232
0900957600,Orange,Black,255,150
0900957600,Orange,Latino,272,146
0900957600,Orange,Other,258,186.82
0900957600,Orange,Total,13937,37
0900957600,Orange,White,12123,396
0900958300,Oxford,Asian,117,148
0900958300,Oxford,Black,447,291
0900958300,Oxford,Latino,531,219
0900958300,Oxford,Other,67,62.39
0900958300,Oxford,Total,13022,23
0900958300,Oxford,White,11860,394
0900962290,Prospect,Asian,26,28
0900962290,Prospect,Black,515,352
0900962290,Prospect,Latino,484,292
0900962290,Prospect,Other,145,126.48
0900962290,Prospect,Total,9736,31
0900962290,Prospect,White,8566,536
0900967610,Seymour,Asian,248,181
0900967610,Seymour,Black,391,175
0900967610,Seymour,Latino,2649,751
0900967610,Seymour,Other,157,105.28
0900967610,Seymour,Total,16522,36
0900967610,Seymour,White,13077,734
0900969640,Southbury,Asian,526,242
0900969640,Southbury,Black,245,175
0900969640,Southbury,Latino,901,394
0900969640,Southbury,Other,219,118.94
0900969640,Southbury,Total,19754,40
0900969640,Southbury,White,17863,493
0900978740,Wallingford,Asian,2010,544
0900978740,Wallingford,Black,692,257
0900978740,Wallingford,Latino,3326,639
0900978740,Wallingford,Other,450,172.72
0900978740,Wallingford,Total,44771,35
0900978740,Wallingford,White,38293,859
0900980070,Waterbury,Asian,2617,610
0900980070,Waterbury,Black,20444,1222
0900980070,Waterbury,Latino,39938,1444
0900980070,Waterbury,Other,4462,825.59
0900980070,Waterbury,Total,108672,53
0900980070,Waterbury,White,41211,1443
0900982870,West Haven,Asian,2489,604
0900982870,West Haven,Black,10496,1040
0900982870,West Haven,Latino,12952,1196
0900982870,West Haven,Other,1729,459.86
0900982870,West Haven,Total,54918,54
0900982870,West Haven,White,27252,1081
0900987560,Wolcott,Asian,246,178
0900987560,Wolcott,Black,468,243
0900987560,Wolcott,Latino,1082,539
0900987560,Wolcott,Other,220,162.25
0900987560,Wolcott,Total,16652,30
0900987560,Wolcott,White,14636,588
0900987700,Woodbridge,Asian,1360,379
0900987700,Woodbridge,Black,239,176
0900987700,Woodbridge,Latino,496,216
0900987700,Woodbridge,Other,142,91.03
0900987700,Woodbridge,Total,8868,31
0900987700,Woodbridge,White,6631,418
