Town,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,4/18/20,4/19/20
Tolland,1,4,5,5,5,6,6,6,6,6,9,9,9,10,10,11,12,13,15,17,17,20,21,24,24,22,23,24,24,24
Torrington,1,1,1,2,4,7,8,13,14,18,20,22,24,30,31,32,44,50,62,71,87,104,110,120,129,152,174,187,196,200
Trumbull,0,0,2,3,4,6,8,9,14,14,17,21,22,29,33,34,48,60,71,95,114,121,126,135,142,156,179,186,199,206
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon,0,1,1,3,4,5,4,7,8,10,11,13,14,15,20,21,22,24,29,33,40,44,52,60,61,67,74,82,87,90
Voluntown,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3
Wallingford,0,0,0,0,2,2,2,3,5,8,10,14,18,24,23,23,30,36,42,52,57,69,70,79,86,88,99,109,114,124
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Washington,0,0,0,1,2,3,5,5,6,10,10,10,10,8,8,8,11,11,11,11,12,12,12,14,14,14,14,15,15,15
Waterbury,2,3,5,10,17,30,36,38,52,69,75,86,105,160,217,236,278,299,358,400,455,490,512,594,638,676,740,822,837,843
Waterford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,12,17,20,32,36,38,42,43,45,50,54,66,78
Watertown,0,0,0,1,1,1,1,3,6,6,7,10,11,14,14,15,16,19,25,28,32,38,39,46,47,48,52,53,54,54
West Hartford,1,1,3,6,6,6,9,9,9,12,20,23,24,36,36,36,43,51,66,69,75,88,92,114,121,142,154,162,168,174
West Haven,6,6,6,11,12,12,18,19,20,30,38,49,50,62,71,85,122,148,167,192,205,232,258,299,319,337,374,410,438,454
Westbrook,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,5,8,9,9,9,10,12,12,12,12,13,14,14
Weston,1,3,4,7,10,10,13,17,23,27,29,29,29,32,32,32,33,34,34,38,37,39,39,40,41,42,42,43,44,44
Westport,41,62,74,79,87,89,95,101,114,115,120,122,125,134,135,135,146,148,152,158,165,172,174,174,176,178,183,183,184,184
Wethersfield,1,1,1,2,3,3,6,8,10,12,15,18,22,25,24,26,30,35,35,40,44,52,59,69,71,71,77,83,85,86
Willington,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
Wilton,4,7,10,13,17,17,25,31,42,44,49,49,51,71,70,73,79,86,87,90,91,92,94,95,96,99,100,101,103,103
Winchester,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,5,8,11,13,13,16,17,19,19,19,20,23,25,26
Windham,0,0,0,0,0,0,0,0,0,1,2,5,5,6,7,7,7,9,10,12,15,16,16,23,25,25,23,23,25,26
Windsor,1,2,3,4,2,2,2,13,15,19,20,21,26,37,43,51,54,57,64,68,73,79,81,102,111,136,147,152,155,157
Windsor Locks,2,2,2,2,6,7,9,2,2,2,4,7,7,6,8,8,11,14,16,16,16,18,18,21,22,24,24,25,25,27
Wolcott,0,0,0,1,2,2,3,3,3,5,5,5,6,11,11,11,12,14,20,21,23,31,31,32,34,39,41,43,42,44
Woodbridge,0,1,2,3,3,3,3,3,3,4,6,6,6,6,6,8,12,16,32,37,37,39,41,48,57,66,64,64,69,68
Woodbury,1,1,1,1,1,2,2,2,4,5,5,6,6,9,9,9,9,9,9,9,11,13,13,18,18,20,20,20,21,21
Woodstock,1,1,2,2,2,2,2,2,3,3,3,5,6,7,7,7,7,7,7,7,8,9,9,9,9,9,9,10,10,10
