town,pop,first_doses,date
Bridgeport,144399,93248,2021-12-08T00:00:00Z
Bridgewater,1635,1341,2021-12-08T00:00:00Z
Bristol,59947,43151,2021-12-08T00:00:00Z
Brookfield,16973,13391,2021-12-08T00:00:00Z
Brooklyn,8272,5314,2021-12-08T00:00:00Z
Burlington,9704,7411,2021-12-08T00:00:00Z
Canaan,1053,1257,2021-12-08T00:00:00Z
Canterbury,5079,3285,2021-12-08T00:00:00Z
Canton,10254,8065,2021-12-08T00:00:00Z
Chaplin,2239,1445,2021-12-08T00:00:00Z
Cheshire,28937,23812,2021-12-08T00:00:00Z
Chester,4213,3199,2021-12-08T00:00:00Z
Clinton,12925,10741,2021-12-08T00:00:00Z
Colchester,15809,12016,2021-12-08T00:00:00Z
Colebrook,1400,1079,2021-12-08T00:00:00Z
Columbia,5379,3941,2021-12-08T00:00:00Z
Cornwall,1362,1208,2021-12-08T00:00:00Z
Coventry,12407,9132,2021-12-08T00:00:00Z
Cromwell,13839,11694,2021-12-08T00:00:00Z
Danbury,84694,65302,2021-12-08T00:00:00Z
Darien,21728,19190,2021-12-08T00:00:00Z
Deep River,4443,3629,2021-12-08T00:00:00Z
Derby,12339,11428,2021-12-08T00:00:00Z
Durham,7165,5616,2021-12-08T00:00:00Z
East Granby,5140,3997,2021-12-08T00:00:00Z
East Haddam,8997,6453,2021-12-08T00:00:00Z
East Hampton,12800,9556,2021-12-08T00:00:00Z
East Hartford,49872,36715,2021-12-08T00:00:00Z
East Haven,28569,19349,2021-12-08T00:00:00Z
East Lyme,18462,15534,2021-12-08T00:00:00Z
East Windsor,11668,7942,2021-12-08T00:00:00Z
Eastford,1790,1114,2021-12-08T00:00:00Z
Easton,7521,5955,2021-12-08T00:00:00Z
Ellington,16467,12088,2021-12-08T00:00:00Z
Enfield,43659,28058,2021-12-08T00:00:00Z
Essex,6668,5719,2021-12-08T00:00:00Z
Fairfield,62045,48437,2021-12-08T00:00:00Z
Farmington,25497,22479,2021-12-08T00:00:00Z
Franklin,1920,1341,2021-12-08T00:00:00Z
Glastonbury,34482,29713,2021-12-08T00:00:00Z
Goshen,2863,2178,2021-12-08T00:00:00Z
Granby,11507,8624,2021-12-08T00:00:00Z
Greenwich,62840,50127,2021-12-08T00:00:00Z
Griswold,11534,7073,2021-12-08T00:00:00Z
Groton,38436,25311,2021-12-08T00:00:00Z
Guilford,22133,19086,2021-12-08T00:00:00Z
Haddam,8193,6567,2021-12-08T00:00:00Z
Hamden,60556,43612,2021-12-08T00:00:00Z
Hampton,1842,1195,2021-12-08T00:00:00Z
Hartford,122105,71824,2021-12-08T00:00:00Z
Hartland,2120,1325,2021-12-08T00:00:00Z
Harwinton,5420,3947,2021-12-08T00:00:00Z
Hebron,9504,7252,2021-12-08T00:00:00Z
Kent,2777,2524,2021-12-08T00:00:00Z
Killingly,17336,10375,2021-12-08T00:00:00Z
Killingworth,6364,4983,2021-12-08T00:00:00Z
Lebanon,7144,5119,2021-12-08T00:00:00Z
Ledyard,14621,10894,2021-12-08T00:00:00Z
Lisbon,4220,2907,2021-12-08T00:00:00Z
Litchfield,8094,6340,2021-12-08T00:00:00Z
Lyme,2316,2132,2021-12-08T00:00:00Z
Madison,18030,15695,2021-12-08T00:00:00Z
Manchester,57584,42170,2021-12-08T00:00:00Z
Mansfield,25487,11125,2021-12-08T00:00:00Z
Marlborough,6335,4912,2021-12-08T00:00:00Z
Meriden,59395,42573,2021-12-08T00:00:00Z
Middlebury,7798,6142,2021-12-08T00:00:00Z
Middlefield,4374,3316,2021-12-08T00:00:00Z
Middletown,46258,36047,2021-12-08T00:00:00Z
Milford,54747,41160,2021-12-08T00:00:00Z
Monroe,19434,15114,2021-12-08T00:00:00Z
Montville,18508,12530,2021-12-08T00:00:00Z
Morris,2254,1629,2021-12-08T00:00:00Z
Naugatuck,31108,21352,2021-12-08T00:00:00Z
New Britain,72495,43735,2021-12-08T00:00:00Z
New Canaan,20233,18328,2021-12-08T00:00:00Z
New Fairfield,13878,10226,2021-12-08T00:00:00Z
New Hartford,6656,4923,2021-12-08T00:00:00Z
New Haven,130250,87914,2021-12-08T00:00:00Z
New London,26858,17886,2021-12-08T00:00:00Z
New Milford,26805,21001,2021-12-08T00:00:00Z
Newington,30014,23656,2021-12-08T00:00:00Z
Newtown,27891,21906,2021-12-08T00:00:00Z
Norfolk,1630,1179,2021-12-08T00:00:00Z
North Branford,14146,11305,2021-12-08T00:00:00Z
North Canaan,3251,2017,2021-12-08T00:00:00Z
North Haven,23683,20713,2021-12-08T00:00:00Z
North Stonington,5196,3367,2021-12-08T00:00:00Z
Norwalk,88816,71128,2021-12-08T00:00:00Z
Norwich,38768,26000,2021-12-08T00:00:00Z
Old Lyme,7306,6304,2021-12-08T00:00:00Z
Old Saybrook,10061,9205,2021-12-08T00:00:00Z
Orange,13926,11631,2021-12-08T00:00:00Z
Oxford,13255,9637,2021-12-08T00:00:00Z
Plainfield,15125,9012,2021-12-08T00:00:00Z
Plainville,17534,12517,2021-12-08T00:00:00Z
Plymouth,11598,7295,2021-12-08T00:00:00Z
Pomfret,4203,3038,2021-12-08T00:00:00Z
Portland,9267,7426,2021-12-08T00:00:00Z
Preston,4625,3248,2021-12-08T00:00:00Z
Prospect,9702,7002,2021-12-08T00:00:00Z
Putnam,9389,5755,2021-12-08T00:00:00Z
Redding,9116,6991,2021-12-08T00:00:00Z
Ridgefield,24959,20743,2021-12-08T00:00:00Z
Rocky Hill,20115,16337,2021-12-08T00:00:00Z
Roxbury,2152,1840,2021-12-08T00:00:00Z
Salem,4083,3129,2021-12-08T00:00:00Z
Salisbury,3600,3601,2021-12-08T00:00:00Z
Scotland,1672,1006,2021-12-08T00:00:00Z
Seymour,16437,11735,2021-12-08T00:00:00Z
Sharon,2689,1923,2021-12-08T00:00:00Z
Shelton,41129,31044,2021-12-08T00:00:00Z
Sherman,3630,2526,2021-12-08T00:00:00Z
Simsbury,25395,21184,2021-12-08T00:00:00Z
Somers,10784,7070,2021-12-08T00:00:00Z
South Windsor,26162,21862,2021-12-08T00:00:00Z
Southbury,19571,15643,2021-12-08T00:00:00Z
Southington,43834,33791,2021-12-08T00:00:00Z
Sprague,2859,1807,2021-12-08T00:00:00Z
Stafford,11893,7120,2021-12-08T00:00:00Z
Stamford,129638,107636,2021-12-08T00:00:00Z
Sterling,3782,1965,2021-12-08T00:00:00Z
Stonington,18559,14281,2021-12-08T00:00:00Z
Stratford,51849,37813,2021-12-08T00:00:00Z
Suffield,15814,11194,2021-12-08T00:00:00Z
Thomaston,7535,5331,2021-12-08T00:00:00Z
Thompson,9379,4833,2021-12-08T00:00:00Z
Tolland,14618,11458,2021-12-08T00:00:00Z
Torrington,34044,24546,2021-12-08T00:00:00Z
Trumbull,35673,29780,2021-12-08T00:00:00Z
Union,839,538,2021-12-08T00:00:00Z
Vernon,29359,22074,2021-12-08T00:00:00Z
Voluntown,2510,1660,2021-12-08T00:00:00Z
Wallingford,44326,34976,2021-12-08T00:00:00Z
Warren,1395,1038,2021-12-08T00:00:00Z
Washington,3428,3006,2021-12-08T00:00:00Z
Waterbury,107568,68444,2021-12-08T00:00:00Z
Waterford,18746,15400,2021-12-08T00:00:00Z
Watertown,21578,16207,2021-12-08T00:00:00Z
West Hartford,62965,55623,2021-12-08T00:00:00Z
West Haven,54620,38169,2021-12-08T00:00:00Z
Westbrook,6869,5665,2021-12-08T00:00:00Z
Weston,10252,8902,2021-12-08T00:00:00Z
Westport,28491,24536,2021-12-08T00:00:00Z
Wethersfield,26008,21845,2021-12-08T00:00:00Z
Willington,5864,3809,2021-12-08T00:00:00Z
Wilton,18343,15936,2021-12-08T00:00:00Z
Winchester,10604,6882,2021-12-08T00:00:00Z
Windham,24561,15010,2021-12-08T00:00:00Z
Windsor,28733,22690,2021-12-08T00:00:00Z
Windsor Locks,12854,9043,2021-12-08T00:00:00Z
Wolcott,16587,11731,2021-12-08T00:00:00Z
Woodbridge,8750,7684,2021-12-08T00:00:00Z
Woodbury,9502,7229,2021-12-08T00:00:00Z
Woodstock,7858,5376,2021-12-08T00:00:00Z
Andover,3236,2356,2021-12-15T00:00:00Z
Ansonia,18654,12270,2021-12-15T00:00:00Z
Ashford,4255,2934,2021-12-15T00:00:00Z
Avon,18276,16649,2021-12-15T00:00:00Z
Barkhamsted,3606,2717,2021-12-15T00:00:00Z
Beacon Falls,6222,4360,2021-12-15T00:00:00Z
Berlin,20436,15410,2021-12-15T00:00:00Z
Bethany,5548,4300,2021-12-15T00:00:00Z
Bethel,19800,14730,2021-12-15T00:00:00Z
Bethlehem,3402,2354,2021-12-15T00:00:00Z
Bloomfield,21211,16945,2021-12-15T00:00:00Z
Bolton,4884,3761,2021-12-15T00:00:00Z
Bozrah,2726,1760,2021-12-15T00:00:00Z
Branford,27900,22519,2021-12-15T00:00:00Z
Bridgeport,144399,94413,2021-12-15T00:00:00Z
Bridgewater,1635,1346,2021-12-15T00:00:00Z
Bristol,59947,43427,2021-12-15T00:00:00Z
Brookfield,16973,13525,2021-12-15T00:00:00Z
Brooklyn,8272,5411,2021-12-15T00:00:00Z
Burlington,9704,7460,2021-12-15T00:00:00Z
Canaan,1053,1262,2021-12-15T00:00:00Z
Canterbury,5079,3318,2021-12-15T00:00:00Z
Canton,10254,8138,2021-12-15T00:00:00Z
Chaplin,2239,1460,2021-12-15T00:00:00Z
Cheshire,28937,23983,2021-12-15T00:00:00Z
Chester,4213,3219,2021-12-15T00:00:00Z
Clinton,12925,10850,2021-12-15T00:00:00Z
Colchester,15809,12137,2021-12-15T00:00:00Z
Colebrook,1400,1088,2021-12-15T00:00:00Z
Columbia,5379,3981,2021-12-15T00:00:00Z
Cornwall,1362,1212,2021-12-15T00:00:00Z
Coventry,12407,9201,2021-12-15T00:00:00Z
Cromwell,13839,11800,2021-12-15T00:00:00Z
Danbury,84694,65854,2021-12-15T00:00:00Z
Darien,21728,19442,2021-12-15T00:00:00Z
Deep River,4443,3658,2021-12-15T00:00:00Z
Derby,12339,11787,2021-12-15T00:00:00Z
Durham,7165,5655,2021-12-15T00:00:00Z
East Granby,5140,4017,2021-12-15T00:00:00Z
East Haddam,8997,6511,2021-12-15T00:00:00Z
East Hampton,12800,9623,2021-12-15T00:00:00Z
East Hartford,49872,37064,2021-12-15T00:00:00Z
East Haven,28569,19525,2021-12-15T00:00:00Z
East Lyme,18462,15625,2021-12-15T00:00:00Z
East Windsor,11668,8019,2021-12-15T00:00:00Z
Eastford,1790,1119,2021-12-15T00:00:00Z
Easton,7521,6049,2021-12-15T00:00:00Z
Ellington,16467,12247,2021-12-15T00:00:00Z
Enfield,43659,28370,2021-12-15T00:00:00Z
Essex,6668,5768,2021-12-15T00:00:00Z
Fairfield,62045,49134,2021-12-15T00:00:00Z
Farmington,25497,22719,2021-12-15T00:00:00Z
Franklin,1920,1345,2021-12-15T00:00:00Z
Glastonbury,34482,30051,2021-12-15T00:00:00Z
Goshen,2863,2193,2021-12-15T00:00:00Z
Granby,11507,8693,2021-12-15T00:00:00Z
Greenwich,62840,50749,2021-12-15T00:00:00Z
Griswold,11534,7139,2021-12-15T00:00:00Z
Groton,38436,25602,2021-12-15T00:00:00Z
Guilford,22133,19251,2021-12-15T00:00:00Z
Haddam,8193,6584,2021-12-15T00:00:00Z
Hamden,60556,43965,2021-12-15T00:00:00Z
Hampton,1842,1204,2021-12-15T00:00:00Z
Hartford,122105,72474,2021-12-15T00:00:00Z
Hartland,2120,1329,2021-12-15T00:00:00Z
Harwinton,5420,3977,2021-12-15T00:00:00Z
Hebron,9504,7317,2021-12-15T00:00:00Z
Kent,2777,2556,2021-12-15T00:00:00Z
Killingly,17336,10464,2021-12-15T00:00:00Z
Killingworth,6364,5027,2021-12-15T00:00:00Z
Lebanon,7144,5157,2021-12-15T00:00:00Z
Ledyard,14621,10983,2021-12-15T00:00:00Z
Lisbon,4220,2926,2021-12-15T00:00:00Z
Litchfield,8094,6368,2021-12-15T00:00:00Z
Lyme,2316,2144,2021-12-15T00:00:00Z
Madison,18030,15821,2021-12-15T00:00:00Z
Manchester,57584,42599,2021-12-15T00:00:00Z
Mansfield,25487,11270,2021-12-15T00:00:00Z
Marlborough,6335,4949,2021-12-15T00:00:00Z
Meriden,59395,43019,2021-12-15T00:00:00Z
Middlebury,7798,6190,2021-12-15T00:00:00Z
Middlefield,4374,3347,2021-12-15T00:00:00Z
Middletown,46258,36288,2021-12-15T00:00:00Z
Milford,54747,41639,2021-12-15T00:00:00Z
Monroe,19434,15226,2021-12-15T00:00:00Z
Montville,18508,12657,2021-12-15T00:00:00Z
Morris,2254,1642,2021-12-15T00:00:00Z
Naugatuck,31108,21533,2021-12-15T00:00:00Z
New Britain,72495,44033,2021-12-15T00:00:00Z
New Canaan,20233,18596,2021-12-15T00:00:00Z
New Fairfield,13878,10376,2021-12-15T00:00:00Z
New Hartford,6656,4965,2021-12-15T00:00:00Z
New Haven,130250,89068,2021-12-15T00:00:00Z
New London,26858,18003,2021-12-15T00:00:00Z
New Milford,26805,21189,2021-12-15T00:00:00Z
Newington,30014,23888,2021-12-15T00:00:00Z
Newtown,27891,22125,2021-12-15T00:00:00Z
Norfolk,1630,1193,2021-12-15T00:00:00Z
North Branford,14146,11382,2021-12-15T00:00:00Z
North Canaan,3251,2037,2021-12-15T00:00:00Z
North Haven,23683,20864,2021-12-15T00:00:00Z
North Stonington,5196,3388,2021-12-15T00:00:00Z
Norwalk,88816,71856,2021-12-15T00:00:00Z
Norwich,38768,26250,2021-12-15T00:00:00Z
Old Lyme,7306,6376,2021-12-15T00:00:00Z
Old Saybrook,10061,9255,2021-12-15T00:00:00Z
Orange,13926,11737,2021-12-15T00:00:00Z
Oxford,13255,9739,2021-12-15T00:00:00Z
Plainfield,15125,9092,2021-12-15T00:00:00Z
Plainville,17534,12607,2021-12-15T00:00:00Z
Plymouth,11598,7367,2021-12-15T00:00:00Z
Pomfret,4203,3044,2021-12-15T00:00:00Z
Portland,9267,7477,2021-12-15T00:00:00Z
Preston,4625,3276,2021-12-15T00:00:00Z
Prospect,9702,7062,2021-12-15T00:00:00Z
Putnam,9389,5795,2021-12-15T00:00:00Z
Redding,9116,7133,2021-12-15T00:00:00Z
Ridgefield,24959,20996,2021-12-15T00:00:00Z
Rocky Hill,20115,16560,2021-12-15T00:00:00Z
Roxbury,2152,1851,2021-12-15T00:00:00Z
Salem,4083,3162,2021-12-15T00:00:00Z
Salisbury,3600,3637,2021-12-15T00:00:00Z
Scotland,1672,1010,2021-12-15T00:00:00Z
Seymour,16437,11856,2021-12-15T00:00:00Z
Sharon,2689,1928,2021-12-15T00:00:00Z
Shelton,41129,31327,2021-12-15T00:00:00Z
Sherman,3630,2561,2021-12-15T00:00:00Z
Simsbury,25395,21380,2021-12-15T00:00:00Z
Somers,10784,7121,2021-12-15T00:00:00Z
South Windsor,26162,22121,2021-12-15T00:00:00Z
Southbury,19571,15764,2021-12-15T00:00:00Z
Southington,43834,34056,2021-12-15T00:00:00Z
Sprague,2859,1828,2021-12-15T00:00:00Z
Stafford,11893,7161,2021-12-15T00:00:00Z
Stamford,129638,108629,2021-12-15T00:00:00Z
Sterling,3782,1977,2021-12-15T00:00:00Z
Stonington,18559,14402,2021-12-15T00:00:00Z
Stratford,51849,38147,2021-12-15T00:00:00Z
Suffield,15814,11291,2021-12-15T00:00:00Z
Thomaston,7535,5376,2021-12-15T00:00:00Z
Thompson,9379,4876,2021-12-15T00:00:00Z
Tolland,14618,11569,2021-12-15T00:00:00Z
Torrington,34044,24725,2021-12-15T00:00:00Z
Trumbull,35673,30069,2021-12-15T00:00:00Z
Union,839,539,2021-12-15T00:00:00Z
Vernon,29359,22260,2021-12-15T00:00:00Z
Voluntown,2510,1665,2021-12-15T00:00:00Z
Wallingford,44326,35208,2021-12-15T00:00:00Z
Warren,1395,1043,2021-12-15T00:00:00Z
Washington,3428,3030,2021-12-15T00:00:00Z
Waterbury,107568,69069,2021-12-15T00:00:00Z
Waterford,18746,15528,2021-12-15T00:00:00Z
Watertown,21578,16339,2021-12-15T00:00:00Z
West Hartford,62965,56160,2021-12-15T00:00:00Z
West Haven,54620,38471,2021-12-15T00:00:00Z
Westbrook,6869,5735,2021-12-15T00:00:00Z
Weston,10252,9045,2021-12-15T00:00:00Z
Westport,28491,24980,2021-12-15T00:00:00Z
Wethersfield,26008,21988,2021-12-15T00:00:00Z
Willington,5864,3849,2021-12-15T00:00:00Z
Wilton,18343,16158,2021-12-15T00:00:00Z
Winchester,10604,6929,2021-12-15T00:00:00Z
Windham,24561,15159,2021-12-15T00:00:00Z
Windsor,28733,22959,2021-12-15T00:00:00Z
Windsor Locks,12854,9102,2021-12-15T00:00:00Z
Wolcott,16587,11805,2021-12-15T00:00:00Z
Woodbridge,8750,7718,2021-12-15T00:00:00Z
Woodbury,9502,7275,2021-12-15T00:00:00Z
Woodstock,7858,5438,2021-12-15T00:00:00Z
Andover,3236,2361,2021-12-22T00:00:00Z
Ansonia,18654,12398,2021-12-22T00:00:00Z
Ashford,4255,2948,2021-12-22T00:00:00Z
Avon,18276,16819,2021-12-22T00:00:00Z
Barkhamsted,3606,2740,2021-12-22T00:00:00Z
Beacon Falls,6222,4400,2021-12-22T00:00:00Z
Berlin,20436,15538,2021-12-22T00:00:00Z
Bethany,5548,4349,2021-12-22T00:00:00Z
Bethel,19800,14923,2021-12-22T00:00:00Z
Bethlehem,3402,2373,2021-12-22T00:00:00Z
Bloomfield,21211,17096,2021-12-22T00:00:00Z
Bolton,4884,3789,2021-12-22T00:00:00Z
Bozrah,2726,1781,2021-12-22T00:00:00Z
Branford,27900,22654,2021-12-22T00:00:00Z
Bridgeport,144399,95322,2021-12-22T00:00:00Z
Bridgewater,1635,1353,2021-12-22T00:00:00Z
Bristol,59947,43872,2021-12-22T00:00:00Z
Brookfield,16973,13655,2021-12-22T00:00:00Z
Brooklyn,8272,5471,2021-12-22T00:00:00Z
Burlington,9704,7525,2021-12-22T00:00:00Z
Canaan,1053,1265,2021-12-22T00:00:00Z
Canterbury,5079,3343,2021-12-22T00:00:00Z
Canton,10254,8210,2021-12-22T00:00:00Z
