Town,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,4/09/20,4/10/20
North Branford,0,0,0,0,0,0,0,0,1,2,5,5,5,8,9,11,12,13,14,15,16
North Canaan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
North Haven,0,0,0,0,0,0,1,2,2,2,9,13,10,15,15,23,29,29,35,43,44
North Stonington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwalk,11,17,28,46,66,76,105,139,226,271,302,315,330,435,464,503,595,625,644,671,690
Norwich,0,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,8,12,13
Old Lyme,0,0,0,0,1,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7
Old Saybrook,0,0,0,0,3,3,4,4,4,5,5,5,5,5,5,5,7,8,9,11,13
Orange,0,0,1,2,3,3,6,6,7,7,7,8,8,8,10,13,15,19,20,22,24
Oxford,1,1,2,2,3,5,5,5,7,8,11,12,13,18,21,21,22,24,25,29,30
Plainfield,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,6
Plainville,1,1,1,1,1,1,3,3,5,7,7,7,10,11,11,11,13,16,19,23,29
Plymouth,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,7,9,13,14,16
Pomfret,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,5,5,5
Portland,1,1,1,1,2,2,2,2,2,3,3,3,4,6,7,8,10,13,15,19,23
Preston,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2
Prospect,0,0,0,1,1,1,1,1,2,3,4,5,8,11,12,12,13,15,16,16,17
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3
Redding,0,0,1,2,6,7,7,13,16,16,16,16,16,20,20,21,21,23,26,28,28
Ridgefield,6,9,13,34,41,43,46,59,69,74,77,78,78,88,93,101,109,111,114,118,121
Rocky Hill,5,7,8,8,8,9,11,14,14,15,17,20,22,26,28,29,31,45,50,58,62
Roxbury,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Salem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
Salisbury,0,0,1,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seymour,0,0,1,2,5,5,5,5,9,10,13,15,17,20,23,27,32,34,42,46,50
Sharon,0,1,1,1,1,2,2,3,3,3,3,3,4,6,6,6,6,6,6,6,7
Shelton,2,1,1,5,6,13,18,20,24,31,46,55,59,78,93,113,124,140,161,190,206
Sherman,0,0,0,1,2,2,2,3,3,4,4,4,4,6,6,6,8,8,8,8,8
Simsbury,0,0,0,0,3,3,4,5,5,5,7,9,9,9,10,10,11,15,21,21,22
Somers,0,0,0,0,0,0,0,0,0,2,4,4,6,7,8,8,9,11,15,18,17
South Windsor,1,2,2,3,3,4,4,4,7,8,9,10,12,15,14,14,16,18,22,27,28
Southbury,2,2,2,4,5,6,5,7,7,11,13,13,14,19,20,21,28,30,36,38,44
Southington,3,3,3,6,8,8,13,16,16,16,19,25,27,33,37,37,41,49,58,66,72
Sprague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stafford,3,7,8,8,11,14,14,14,15,17,17,17,19,21,27,27,28,29,31,33,33
Stamford,19,25,30,34,48,60,76,86,126,157,401,437,508,589,604,652,888,1000,1045,1113,1189
Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Stonington,0,0,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,9,15,14,13
Stratford,2,3,3,7,11,12,17,18,22,27,31,34,38,49,54,58,84,120,147,196,223
Suffield,2,2,2,2,4,6,7,7,7,7,9,14,18,19,20,20,20,23,27,29,30
Thomaston,2,2,1,1,2,6,5,5,5,6,7,7,8,10,11,12,12,16,18,20,22
Thompson,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,2,4,4,4
Tolland,1,4,5,5,5,6,6,6,6,6,9,9,9,10,10,11,12,13,15,17,17
Torrington,1,1,1,2,4,7,8,13,14,18,20,22,24,30,31,32,44,50,62,71,87
Trumbull,0,0,2,3,4,6,8,9,14,14,17,21,22,29,33,34,48,60,71,95,114
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon,0,1,1,3,4,5,4,7,8,10,11,13,14,15,20,21,22,24,29,33,40
Voluntown,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wallingford,0,0,0,0,2,2,2,3,5,8,10,14,18,24,23,23,30,36,42,52,57
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,1,2,3,5,5,6,10,10,10,10,8,8,8,11,11,11,11,12
Waterbury,2,3,5,10,17,30,36,38,52,69,75,86,105,160,217,236,278,299,358,400,455
Waterford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,12,17,20,32
Watertown,0,0,0,1,1,1,1,3,6,6,7,10,11,14,14,15,16,19,25,28,32
West Hartford,1,1,3,6,6,6,9,9,9,12,20,23,24,36,36,36,43,51,66,69,75
West Haven,6,6,6,11,12,12,18,19,20,30,38,49,50,62,71,85,122,148,167,192,205
Westbrook,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,5,8,9,9
Weston,1,3,4,7,10,10,13,17,23,27,29,29,29,32,32,32,33,34,34,38,37
Westport,41,62,74,79,87,89,95,101,114,115,120,122,125,134,135,135,146,148,152,158,165
Wethersfield,1,1,1,2,3,3,6,8,10,12,15,18,22,25,24,26,30,35,35,40,44
Willington,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3
Wilton,4,7,10,13,17,17,25,31,42,44,49,49,51,71,70,73,79,86,87,90,91
Winchester,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,5,8,11,13,13
Windham,0,0,0,0,0,0,0,0,0,1,2,5,5,6,7,7,7,9,10,12,15
Windsor Locks,2,2,2,2,6,7,9,2,2,2,4,7,7,6,8,8,11,14,64,16,16
Windsor,1,2,3,4,2,2,2,13,15,19,20,21,26,37,43,51,54,57,16,68,73
Wolcott,0,0,0,1,2,2,3,3,3,5,5,5,6,11,11,11,12,14,20,21,23
Woodbridge,0,1,2,3,3,3,3,3,3,4,6,6,6,6,6,8,12,16,32,37,37
Woodbury,1,1,1,1,1,2,2,2,4,5,5,6,6,9,9,9,9,9,9,9,11
Woodstock,1,1,2,2,2,2,2,2,3,3,3,5,6,7,7,7,7,7,7,7,8
